"ticker","month_name","avg_return_pct","months_analyzed"
"AAPL","January  ","0.40","5"
"AAPL","February ","0.52","5"
"AAPL","March    ","-1.40","5"
"AAPL","April    ","-1.58","5"
"AAPL","May      ","-0.59","5"
"AAPL","June     ","1.34","5"
"AAPL","July     ","3.74","5"
"AAPL","August   ","2.05","5"
"AAPL","September","-1.29","5"
"AAPL","October  ","1.44","5"
"AAPL","November ","1.97","6"
"AAPL","December ","1.54","5"
"AMZN","January  ","1.49","5"
"AMZN","February ","-0.76","5"
"AMZN","March    ","0.08","5"
"AMZN","April    ","-1.22","5"
"AMZN","May      ","0.80","5"
"AMZN","June     ","1.55","5"
"AMZN","July     ","2.36","5"
"AMZN","August   ","0.43","5"
"AMZN","September","-0.18","5"
"AMZN","October  ","0.21","5"
"AMZN","November ","1.10","6"
"AMZN","December ","-0.23","5"
"GOOGL","January  ","1.94","5"
"GOOGL","February ","-0.63","5"
"GOOGL","March    ","2.21","5"
"GOOGL","April    ","-0.22","5"
"GOOGL","May      ","2.16","5"
"GOOGL","June     ","0.84","5"
"GOOGL","July     ","3.02","5"
"GOOGL","August   ","1.14","5"
"GOOGL","September","1.13","5"
"GOOGL","October  ","1.14","5"
"GOOGL","November ","2.50","6"
"GOOGL","December ","0.90","5"
"MSFT","January  ","0.12","5"
"MSFT","February ","0.06","5"
"MSFT","March    ","1.46","5"
"MSFT","April    ","-0.88","5"
"MSFT","May      ","1.20","5"
"MSFT","June     ","2.03","5"
"MSFT","July     ","1.23","5"
"MSFT","August   ","-0.37","5"
"MSFT","September","-0.63","5"
"MSFT","October  ","1.15","5"
"MSFT","November ","2.15","6"
"MSFT","December ","-0.10","5"
"SPY","January  ","0.96","5"
"SPY","February ","0.55","5"
"SPY","March    ","0.02","5"
"SPY","April    ","-1.46","5"
"SPY","May      ","0.92","5"
"SPY","June     ","0.51","5"
"SPY","July     ","1.50","5"
"SPY","August   ","0.72","5"
"SPY","September","-0.64","5"
"SPY","October  ","1.07","5"
"SPY","November ","1.89","6"
"SPY","December ","0.26","5"
"TSLA","January  ","3.14","5"
"TSLA","February ","-1.87","5"
"TSLA","March    ","-6.60","5"
"TSLA","April    ","-3.90","5"
"TSLA","May      ","-0.52","5"
"TSLA","June     ","2.36","5"
"TSLA","July     ","5.00","5"
"TSLA","August   ","-0.56","5"
"TSLA","September","8.72","5"
"TSLA","October  ","-2.32","5"
"TSLA","November ","2.37","6"
"TSLA","December ","0.17","5"
