"ticker","year","quarter","start_price","end_price","quarterly_return_pct"
"AAPL","2020","4","113.85","128.70","13.04"
"AAPL","2020","4","113.85","130.96","15.03"
"AAPL","2020","4","113.85","116.03","1.91"
"AAPL","2020","4","113.85","124.38","9.25"
"AAPL","2020","4","113.85","127.88","12.32"
"AAPL","2020","4","113.85","131.88","15.84"
"AAPL","2020","4","113.85","122.41","7.52"
"AAPL","2020","4","113.85","136.69","20.06"
"AAPL","2020","4","113.85","123.75","8.70"
"AAPL","2020","4","113.85","128.23","12.63"
"AAPL","2020","4","113.85","116.59","2.41"
"AAPL","2020","4","113.85","133.72","17.45"
"AAPL","2020","4","113.85","122.25","7.38"
"AAPL","2020","4","113.85","113.85","0.00"
"AAPL","2020","4","113.85","126.66","11.25"
"AAPL","2020","4","113.85","134.87","18.46"
"AAPL","2020","4","113.85","132.69","16.55"
"AAPL","2020","4","113.85","121.78","6.97"
"AAPL","2020","4","113.85","115.17","1.16"
"AAPL","2020","4","113.85","131.97","15.92"
"AAPL","2020","4","113.85","127.81","12.26"
"AAPL","2020","4","113.85","122.72","7.79"
"AAPL","2020","4","113.85","123.24","8.25"
"AAPL","2020","4","113.85","119.05","4.57"
"AAPL","2020","4","113.85","123.08","8.11"
"AAPL","2020","4","113.85","122.94","7.98"
"AAPL","2021","1","129.41","120.99","-6.51"
"AAPL","2021","1","129.41","123.99","-4.19"
"AAPL","2021","1","129.41","139.07","7.46"
"AAPL","2021","1","129.41","126.60","-2.17"
"AAPL","2021","1","129.41","129.87","0.36"
"AAPL","2021","1","129.41","122.54","-5.31"
"AAPL","2021","1","129.41","134.99","4.31"
"AAPL","2021","1","129.41","125.12","-3.32"
"AAPL","2021","1","129.41","136.91","5.80"
"AAPL","2021","1","129.41","122.06","-5.68"
"AAPL","2021","1","129.41","121.96","-5.76"
"AAPL","2021","1","129.41","130.89","1.14"
"AAPL","2021","1","129.41","121.21","-6.34"
"AAPL","2021","1","129.41","133.19","2.92"
"AAPL","2021","1","129.41","128.80","-0.47"
"AAPL","2021","1","129.41","128.91","-0.39"
"AAPL","2021","1","129.41","132.03","2.02"
"AAPL","2021","1","129.41","119.99","-7.28"
"AAPL","2021","1","129.41","121.26","-6.30"
