"stock_a","stock_b","correlation","overlapping_days","correlation_strength"
"AAPL","SPY","0.377","5020","MODERATELY CORRELATED"
"AAPL","MSFT","0.317","5020","MODERATELY CORRELATED"
"AAPL","GOOGL","0.288","5016","WEAKLY CORRELATED"
"AAPL","AMZN","0.279","5020","WEAKLY CORRELATED"
"AAPL","TSLA","0.246","5020","WEAKLY CORRELATED"
"MSFT","SPY","0.189","20089","WEAKLY CORRELATED"
"AMZN","SPY","0.178","20089","WEAKLY CORRELATED"
"GOOGL","SPY","0.171","20073","WEAKLY CORRELATED"
"AMZN","MSFT","0.165","20089","WEAKLY CORRELATED"
"GOOGL","MSFT","0.163","20073","WEAKLY CORRELATED"
"AMZN","GOOGL","0.154","20073","WEAKLY CORRELATED"
"SPY","TSLA","0.141","20089","WEAKLY CORRELATED"
"AMZN","TSLA","0.111","20089","WEAKLY CORRELATED"
"MSFT","TSLA","0.105","20089","WEAKLY CORRELATED"
"GOOGL","TSLA","0.102","20073","WEAKLY CORRELATED"
