"ticker","date","price","moving_avg_50","moving_avg_200","signal","action"
"AAPL","2025-09-15","236.70","221.59","221.55","BUY SIGNAL","TRADE"
"AAPL","2025-04-07","181.46","228.19","228.84","SELL SIGNAL","TRADE"
"AAPL","2024-06-13","214.24","182.49","182.28","BUY SIGNAL","TRADE"
"AAPL","2024-03-13","171.13","183.77","183.87","SELL SIGNAL","TRADE"
"AAPL","2023-03-23","158.93","148.34","147.88","BUY SIGNAL","TRADE"
"AAPL","2022-09-30","138.20","159.73","159.86","SELL SIGNAL","TRADE"
"AAPL","2022-09-28","149.84","160.29","160.21","BUY SIGNAL","TRADE"
"AAPL","2022-06-03","145.38","159.09","159.49","SELL SIGNAL","TRADE"
"AAPL","2021-06-02","125.06","128.02","127.97","BUY SIGNAL","TRADE"
"AAPL","2021-04-07","127.90","127.19","127.33","SELL SIGNAL","TRADE"
"AAPL","2021-02-05","136.76","129.44","129.14","BUY SIGNAL","TRADE"
"AMZN","2025-11-03","254.00","226.37","225.99","BUY SIGNAL","TRADE"
"AMZN","2025-09-26","219.78","227.38","227.40","SELL SIGNAL","TRADE"
"AMZN","2025-05-13","211.37","190.56","190.20","BUY SIGNAL","TRADE"
"AMZN","2025-02-24","212.71","227.63","227.87","SELL SIGNAL","TRADE"
"AMZN","2024-09-17","186.88","179.56","179.45","BUY SIGNAL","TRADE"
"AMZN","2024-07-29","183.20","187.04","187.12","SELL SIGNAL","TRADE"
"AMZN","2024-06-18","182.81","183.04","182.98","BUY SIGNAL","TRADE"
"AMZN","2024-06-03","178.34","182.18","182.26","SELL SIGNAL","TRADE"
"AMZN","2024-05-03","186.21","178.86","178.85","BUY SIGNAL","TRADE"
